Board of Directors

The highest ranked candidate gets the highest score; thus a score of 1 indicates the candidate was least preferred.

Ballot	Amari Atkins	Briana Brock	Carlos Casten	Danna Dunn	Ed Ellis	Frances Flynn	Gunnar Gardsen	Helen Hurst	Ivan Ishutin	Jada Jackson	Kai Kerr	Laura Logan	Marco Mendoza	Nala Nolan	Otto Osborn	Piper Peck	Quentin Quag	Rose Rollins	Sean Scott	Talia Turner	Write-in 1	Write-in 2	Write-in 3	Write-in 4	Write-in 5	Write-in 6	Write-in 7	Write-in 8	Write-in 9	Write-in 10	Abstain
1	4	2	3	1	5	6	7	8	14	17	15	19	20	18	16	9	10	12	11	13											
2	4	2	3	1	5	7	11	13	17	20	18	16	19	15	14	6	9	10	8	12											
3	4	2	3	1	5	6	7	8	13	15	17	20	16	19	18	10	12	11	9	14											
4	4	2	3	1	5	6	7	8	14	16	15	19	20	18	17	9	10	12	11	13											
5	4	2	3	1	5	6	7	8	9	10	11	18	13	19	20	14	12	16	15	17											
6	4	2	3	1	5	6	7	13	18	20	19	16	17	15	14	9	11	10	8	12											
7	19	15	16	13	20	17	18	14	12	11	10	8	9	7	6	1	3	4	2	5											
8	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	17	16	19	18	20											
9	4	2	3	1	5	6	7	8	9	10	11	17	14	19	20	13	12	16	15	18											
10	19	14	15	13	18	20	17	16	12	11	10	8	9	7	6	2	4	3	1	5											
11	4	2	3	1	5	6	7	8	9	10	11	13	12	14	16	17	15	18	19	20											
12	17	20	18	19	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
13	17	20	18	19	15	16	13	14	12	11	10	8	9	7	6	2	5	3	1	4											
14	4	2	3	1	5	6	7	8	9	10	11	13	12	14	17	18	16	19	15	20											
15	4	2	3	1	5	6	7	8	11	16	15	19	20	17	18	10	9	13	12	14											
16	17	20	18	19	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
17	4	2	3	1	5	6	7	8	14	16	17	19	15	20	18	11	13	10	9	12											
18	4	2	3	1	5	6	7	8	9	10	11	16	12	17	19	14	13	18	15	20											
19	4	2	3	1	5	6	7	8	9	10	12	13	11	14	15	20	19	18	16	17											
20	17	14	15	12	16	20	18	19	13	11	10	8	9	7	6	2	4	3	1	5											
21	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	19	16	20	17	18											
22														14	16	15		18	17	19	Wes Wellen (20)										
23	4	2	3	1	5	6	7	8	9	10	11	16	15	18	19	13	12	17	14	20											
24	4	2	3	1	5	6	7	8	9	10	12	13	11	14	15	19	20	18	16	17											
25	4	2	3	1	5	7	6	8	9	11	13	17	10	18	19	16	20	14	12	15											
26	4	2	3	1	5	6	7	8	9	15	17	18	16	19	20	11	13	12	10	14											
27	4	2	3	1	5	7	6	8	19	18	20	17	14	16	15	11	13	10	9	12											
28	4	2	3	1	5	6	7	8	13	16	15	19	20	18	17	10	9	12	11	14											
29	4	2	3	1	5	6	7	8	9	10	11	17	12	19	20	15	14	16	13	18											
30	16	14	15	11	17	20	19	18	13	12	10	8	9	7	6	2	4	3	1	5											
31	19	17	20	16	18	14	15	13	12	11	9	8	10	7	6	1	3	4	2	5											
32	4	2	3	1	5	7	6	8	9	10	12	13	11	14	15	19	20	18	16	17											
33	4	2	3	1	5	6	7	8	11	16	15	18	20	17	19	10	9	13	12	14											
34	17	20	19	18	15	16	13	14	12	11	10	8	9	7	6	2	5	3	1	4											
35	18	13	15	9	19	17	20	16	12	14	10	8	11	7	6	1	3	4	2	5											
36	18	20	19	17	15	16	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
37	4	2	3	1	5	6	7	8	9	10	16	18	13	19	20	12	15	14	11	17											
38	17	19	20	18	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
39	4	2	3	1	5	7	6	11	19	18	20	17	14	16	15	9	13	10	8	12											
40	4	2	3	1	5	6	7	8	9	13	15	18	17	19	20	11	10	14	12	16											
41	4	2	3	1	5	6	7	8	9	10	12	14	11	15	16	19	20	18	13	17											
42	4	2	3	1	5	7	6	8	14	15	17	19	11	20	18	12	16	10	9	13											
43	4	2	3	1	5	6	7	8	9	10	12	13	11	14	15	19	20	18	16	17											
44	4	2	3	1	5	6	7	8	14	20	19	18	16	17	15	10	12	11	9	13											
45	4	2	3	1	5	6	7	8	9	12	17	18	11	20	19	14	16	13	10	15											
46	4	2	3	1	5	6	7	8	14	19	15	18	20	17	16	9	10	12	11	13											
47	4	2	3	1	5	6	7	8	9	10	11	13	12	15	16	17	14	18	19	20											
48	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	17	16	18	19	20											
49	4	2	3	1	5	6	7	8	9	10	12	18	11	19	20	14	16	15	13	17											
50	4	2	3	1	5	6	7	8	9	10	11	14	12	15	16	17	13	19	18	20											
51	20	15	16	13	19	18	17	14	12	11	10	8	9	7	6	2	4	3	1	5											
52	18	14	15	13	17	20	16	19	12	11	10	8	9	7	6	2	5	3	1	4											
53	18	15	17	13	20	16	19	14	11	12	9	8	10	7	6	1	3	4	2	5											
54	4	2	3	1	5	7	6	8	18	19	20	17	14	16	15	10	13	11	9	12											
55	16	14	15	13	17	20	18	19	12	11	10	8	9	7	6	2	4	3	1	5											
56	18	14	15	13	19	17	20	16	11	12	9	8	10	7	6	1	3	4	2	5											
57	17	14	15	11	19	18	20	16	13	12	10	8	9	7	6	1	3	4	2	5											
58	18	14	15	13	19	17	20	16	12	11	10	8	9	7	6	1	3	4	2	5											
59	4	2	3	1	5	6	7	8	9	11	17	18	12	19	20	13	16	14	10	15											
60	4	2	3	1	5	6	9	10	14	19	17	18	20	16	15	8	7	12	11	13											
61	18	14	16	13	19	17	20	15	11	12	9	8	10	7	6	1	3	4	2	5											
62	16	12	15	9	18	17	20	19	13	14	11	8	10	7	6	1	3	4	2	5											
63	4	2	3	1	5	6	7	11	14	19	18	17	20	16	15	8	9	12	10	13											
64	17	19	20	18	16	14	15	13	12	11	10	8	9	7	6	1	4	3	2	5											
65	4	2	3	1	5	6	7	8	15	16	18	20	14	19	17	10	13	11	9	12											
66	4	2	3	1	5	6	7	8	9	10	11	18	14	19	20	13	12	16	15	17											
67	4	2	3	1	5	6	7	8	9	14	15	18	17	19	20	11	10	13	12	16											
68	4	2	3	1	5	7	6	8	18	19	20	17	14	16	15	10	13	11	9	12											
69	4	2	3	1	5	6	7	8	14	16	17	20	15	19	18	10	12	11	9	13											
70	18	14	15	11	19	17	20	16	12	13	9	8	10	7	6	1	2	4	3	5											
71	18	19	20	16	17	15	14	13	12	11	10	8	9	7	6	1	4	3	2	5											
72	4	2	3	1	5	6	7	8	14	20	17	18	19	16	15	9	11	12	10	13											
73	4	2	3	1	5	6	7	8	9	10	12	14	11	16	19	18	20	15	13	17											
74	4	2	3	1	5	6	7	8	14	16	17	20	15	19	18	10	12	11	9	13											
75	19	15	17	13	20	16	18	14	12	11	10	8	9	7	6	1	3	4	2	5											
76	18	15	14	13	17	20	16	19	12	11	10	8	9	7	6	2	5	3	1	4											
77	4	2	3	1	5	6	7	8	9	15	13	18	20	17	19	11	10	14	12	16											
